(in millions)  ,Second Quarter Fiscal 2024 Guidance  ,Full Year Fiscal 2024 Guidance  
Total revenue  ,$72.0 - $76.5  ,$295.0 - $320.0  
Non-GAAP loss from operations  ,($27.0) - ($40.0)  ,($70.0) - ($100.0)  
