,"Three Months Ended July 31,  "
,2023  ,2022  
Cost of subscription  ,"$ 8,056  ","$ 4,272  "
Cost of professional services  ,460  ,"1,071  "
Sales and marketing  ,"16,779  ","16,779  "
Research and development  ,"17,033  ","25,217  "
General and administrative  ,"8,552  ","9,291  "
Total stock-based compensation expense  ,"$ 50,880  ","$ 56,630  "
